o,h,l,c,volume
1.12399,1.12399,1.1228,1.12314,747
1.12316,1.12386,1.12224,1.12226,965
1.12226,1.1228200000000002,1.12116,1.1220299999999999,2628
1.12201,1.1246399999999999,1.12188,1.12457,2357
1.12458,1.1248799999999999,1.12303,1.1232,3108
1.12322,1.12343,1.1226200000000002,1.12337,1858
1.1233600000000001,1.12391,1.1229799999999999,1.12309,1582
1.12307,1.12366,1.1228200000000002,1.12285,1294
1.12286,1.12372,1.12192,1.1228200000000002,3865
1.1228,1.12379,1.12238,1.12343,6511
1.12342,1.12786,1.1229,1.12724,13529
1.12725,1.1295600000000001,1.1268200000000002,1.1294,11291
1.12941,1.1324299999999998,1.12929,1.13165,17348
1.13166,1.13408,1.13116,1.13326,13322
1.13324,1.13324,1.1305399999999999,1.13162,9962
1.13164,1.1337899999999999,1.13055,1.13228,14222
1.13229,1.1354799999999998,1.1318,1.1349200000000002,18729
1.13494,1.13547,1.1287399999999999,1.131,26307
1.13099,1.13304,1.13058,1.13194,11293
1.13196,1.1328,1.12883,1.1305399999999999,8147
1.13056,1.13116,1.12906,1.12986,8309
1.12984,1.1319,1.1293799999999998,1.13178,7259
1.13178,1.1326,1.13008,1.1306100000000001,11457
1.1306,1.13113,1.12835,1.12839,1786
1.1351,1.1356899999999999,1.1335600000000001,1.13517,594
1.13511,1.13954,1.13401,1.1387,5813
1.1387200000000002,1.13964,1.13668,1.13878,5353
1.13876,1.13876,1.1359,1.13599,4705
1.13601,1.14963,1.1356,1.1428399999999999,9508
1.14286,1.14612,1.1386399999999999,1.13982,8136
1.13984,1.14276,1.1371200000000001,1.14165,5321
1.14162,1.14234,1.1397700000000002,1.14012,3285
1.14011,1.1425299999999998,1.13812,1.1382,2919
1.13819,1.14094,1.1381700000000001,1.13999,5572
1.14005,1.1475600000000001,1.14004,1.14388,14741
1.1439,1.14402,1.139,1.14024,14778
1.1402299999999999,1.14066,1.13655,1.13915,11383
1.13913,1.14392,1.1390200000000001,1.14242,9857
1.14244,1.14296,1.1409200000000002,1.1425,10724
1.1425100000000001,1.14388,1.1403,1.1435799999999998,13618
1.14357,1.14847,1.13763,1.1401,19851
1.14008,1.1447,1.13998,1.1434600000000001,23678
1.1434799999999998,1.1446399999999999,1.14121,1.14198,14831
1.14199,1.14735,1.14141,1.1470799999999999,14403
1.14707,1.1479,1.14432,1.14628,12588
1.1463,1.1473200000000001,1.14273,1.14616,13364
1.14614,1.14666,1.1436,1.14525,8473
1.14524,1.1466,1.14336,1.144,4496
1.144,1.14567,1.14211,1.14534,1033
1.1453,1.14584,1.14342,1.14384,2624
1.14386,1.1439,1.1395,1.13994,3574
1.13992,1.14254,1.1377,1.1385399999999999,5844
1.13852,1.1414,1.13719,1.14069,5467
1.1407,1.14142,1.13972,1.14096,2336
1.1409799999999999,1.1414600000000001,1.13893,1.13951,2575
1.13949,1.13992,1.13742,1.13753,3343
1.13755,1.13768,1.13323,1.13415,5577
1.13414,1.1373799999999998,1.13388,1.13408,9582
1.13406,1.13868,1.1337899999999999,1.13818,15494
1.1382,1.14014,1.1358,1.13602,15889
